data,explainer,coverage,hit_rate,seed
Rectangular,HDEXPLAIN,0.4,0.49,4.0
Rectangular,HDEXPLAIN,0.4266666666666667,0.6,77.0
Rectangular,HDEXPLAIN,0.3666666666666666,0.46,27.0
Rectangular,HDEXPLAIN,0.37,0.5,71.0
Rectangular,RPS,0.0866666666666666,0.06,44.0
Rectangular,RPS,0.0833333333333333,0.05,52.0
Rectangular,RPS,0.0766666666666666,0.05,42.0
Rectangular,RPS,0.08,0.05,55.0
Rectangular,IF,0.2133333333333333,0.22,5.0
Rectangular,IF,0.2166666666666666,0.09,93.0
Rectangular,IF,0.2166666666666666,0.1,13.0
Rectangular,IF,0.23,0.11,62.0
Rectangular,TracIn,0.1933333333333333,0.13,72.0
Rectangular,TracIn,0.19,0.1,38.0
Rectangular,TracIn,0.1766666666666666,0.09,48.0
Rectangular,TracIn,0.20333333333333334,0.07,59.0
